suggestion_id,task_id,user_id,prompt_group,suggestion_type,resume_section,matched_keyword,original_expression,revised_expression,specificity_score,jd_match_score,actionability_score,adopted,status
sg_c7150ddfd1,t_00002,u_0002,B,技能补强,技能,SQL,简历中暂未明确体现“SQL”相关能力。,使用 SQL 搭建用户行为数据查询逻辑，完成核心漏斗指标口径校验，支持产品优化决策。,5,5,5,True,adopted
sg_e3c1602c25,t_00002,u_0002,B,技能补强,技能,Python,简历中暂未明确体现“Python”相关能力。,使用 Python 和 pandas 完成用户行为日志清洗、指标计算和可视化数据准备，提升分析效率。,5,5,5,True,adopted
sg_693640639c,t_00002,u_0002,B,项目表达,项目经历,数据分析,简历中已提到“数据分析”，但表达偏概括，缺少业务场景、分析动作或结果。,围绕简历优化路径建立漏斗和采纳指标，定位建议采纳环节流失，并提出结构化建议展示方案。,4,5,5,True,adopted
sg_85a83d6cbb,t_00002,u_0002,B,方法补充,项目经历,A/B 实验,简历中暂未明确体现“A/B 实验”相关能力。,设计 A/B 实验比较通用建议型 Prompt 与 JD 匹配型 Prompt，评估建议采纳率和报告导出率差异。,5,5,5,True,adopted
sg_107c9bfc5e,t_00002,u_0002,B,指标补强,项目经历,指标体系,简历中暂未明确体现“指标体系”相关能力。,构建覆盖漏斗转化、建议采纳、Prompt A/B、建议质量和用户分群的指标体系。,5,5,5,True,adopted
sg_aa882558ed,t_00002,u_0002,B,工具表达,技能,BI,简历中暂未明确体现“BI”相关能力。,使用 Streamlit 和 Plotly 搭建本地分析看板，展示漏斗、A/B 实验、用户分群和建议质量分析。,5,5,5,False,rejected
sg_716217f283,t_00003,u_0003,B,项目表达,项目经历,数据分析,简历中暂未明确体现“数据分析”相关能力。,围绕简历优化路径建立漏斗和采纳指标，定位建议采纳环节流失，并提出结构化建议展示方案。,5,5,5,True,adopted
sg_9d2efe87c7,t_00003,u_0003,B,业务表达,项目经历,用户增长,简历中暂未明确体现“用户增长”相关能力。,拆解访问、上传简历、生成建议、采纳建议和导出报告路径，识别核心流失环节并提出优化方案。,5,5,5,False,rejected
sg_e63fe37613,t_00003,u_0003,B,指标补强,项目经历,指标体系,简历中暂未明确体现“指标体系”相关能力。,构建覆盖漏斗转化、建议采纳、Prompt A/B、建议质量和用户分群的指标体系。,5,5,5,True,adopted
sg_55e56e2741,t_00004,u_0004,A,项目表达,项目经历,数据分析,简历中暂未明确体现“数据分析”相关能力。,围绕简历优化路径建立漏斗和采纳指标，定位建议采纳环节流失，并提出结构化建议展示方案。,5,3,5,False,rejected
sg_e536b402d4,t_00004,u_0004,A,业务表达,项目经历,用户增长,简历中暂未明确体现“用户增长”相关能力。,拆解访问、上传简历、生成建议、采纳建议和导出报告路径，识别核心流失环节并提出优化方案。,5,3,5,True,adopted
sg_4ef094f426,t_00004,u_0004,A,指标补强,项目经历,指标体系,简历中暂未明确体现“指标体系”相关能力。,构建覆盖漏斗转化、建议采纳、Prompt A/B、建议质量和用户分群的指标体系。,5,3,5,True,adopted
sg_82915573d7,t_00005,u_0005,A,项目表达,项目经历,数据分析,简历中已提到“数据分析”，但表达偏概括，缺少业务场景、分析动作或结果。,围绕简历优化路径建立漏斗和采纳指标，定位建议采纳环节流失，并提出结构化建议展示方案。,4,3,5,True,adopted
sg_4435e94c04,t_00005,u_0005,A,业务表达,项目经历,用户增长,简历中暂未明确体现“用户增长”相关能力。,拆解访问、上传简历、生成建议、采纳建议和导出报告路径，识别核心流失环节并提出优化方案。,5,3,5,False,rejected
sg_b13e0e6982,t_00005,u_0005,A,指标补强,项目经历,指标体系,简历中暂未明确体现“指标体系”相关能力。,构建覆盖漏斗转化、建议采纳、Prompt A/B、建议质量和用户分群的指标体系。,5,3,5,False,rejected
sg_abb468cfb4,t_00006,u_0006,A,项目表达,项目经历,数据分析,简历中已提到“数据分析”，但表达偏概括，缺少业务场景、分析动作或结果。,围绕简历优化路径建立漏斗和采纳指标，定位建议采纳环节流失，并提出结构化建议展示方案。,4,3,5,False,rejected
sg_b665de4026,t_00006,u_0006,A,业务表达,项目经历,用户增长,简历中暂未明确体现“用户增长”相关能力。,拆解访问、上传简历、生成建议、采纳建议和导出报告路径，识别核心流失环节并提出优化方案。,5,3,5,False,rejected
sg_f0e2fbb0a0,t_00006,u_0006,A,指标补强,项目经历,指标体系,简历中暂未明确体现“指标体系”相关能力。,构建覆盖漏斗转化、建议采纳、Prompt A/B、建议质量和用户分群的指标体系。,5,3,5,True,adopted
sg_7afd9e9a8e,t_00008,u_0007,B,技能补强,技能,SQL,简历中已提到“SQL”，但表达偏概括，缺少业务场景、分析动作或结果。,使用 SQL 搭建用户行为数据查询逻辑，完成核心漏斗指标口径校验，支持产品优化决策。,4,5,5,True,adopted
sg_67ca59918d,t_00008,u_0007,B,技能补强,技能,Python,简历中已提到“Python”，但表达偏概括，缺少业务场景、分析动作或结果。,使用 Python 和 pandas 完成用户行为日志清洗、指标计算和可视化数据准备，提升分析效率。,4,5,5,True,adopted
sg_d02e300639,t_00008,u_0007,B,项目表达,项目经历,数据分析,简历中已提到“数据分析”，但表达偏概括，缺少业务场景、分析动作或结果。,围绕简历优化路径建立漏斗和采纳指标，定位建议采纳环节流失，并提出结构化建议展示方案。,4,5,5,True,adopted
sg_eb00662bd9,t_00008,u_0007,B,方法补充,项目经历,A/B 实验,简历中暂未明确体现“A/B 实验”相关能力。,设计 A/B 实验比较通用建议型 Prompt 与 JD 匹配型 Prompt，评估建议采纳率和报告导出率差异。,5,5,5,True,adopted
sg_03a8b9e35c,t_00008,u_0007,B,指标补强,项目经历,指标体系,简历中暂未明确体现“指标体系”相关能力。,构建覆盖漏斗转化、建议采纳、Prompt A/B、建议质量和用户分群的指标体系。,5,5,5,True,adopted
